topic,abstract,criteria,dataset
Poor nutritional condition promotes high_risk behaviours: a systematic review and meta_analysis,"Animal behaviour can lead to varying levels of risk, and an individual's physical condition can alter the potential costs and benefits of undertaking risky behaviours. How risk-taking behaviour depends on condition is subject to contrasting hypotheses. The asset protection principle proposes that individuals in better condition should be more risk averse, as they have higher future reproductive potential (i.e. more to lose). The state-dependent safety hypothesis proposes that high-condition individuals that are more likely to survive and maximise the benefits of risky situations may make apparently riskier choices, as their individual risk is in fact lower. We systematically searched for studies that experimentally manipulated animals' nutritional or energetic condition through diet treatments, and subsequently measured risk-taking behaviour in contexts relating to predation, novelty and exploration. Our meta-analysis quantified condition effects on risk-taking behaviour at both the mean and variance level. We preregistered our methods and hypotheses prior to conducting the study. Phylogenetic multilevel meta-analysis revealed that the lower-nutritional-condition individuals showed on average ca. 26% greater tendency towards risk than high-condition individuals (95% confidence interval: 15-38%; N = 126 studies, 1297 effect sizes). Meta-regressions revealed several factors influencing the overall effect, such as the experimental context used to measure risk-taking behaviour, and the life stage when condition was manipulated. Meta-analysis of variance revealed no clear overall effect of condition on behavioural variance (on average ca. 3% decrease in variance in low- versus high-condition groups; 95% confidence interval: -8 to 3%; N = 119 studies, 1235 effect sizes), however, the experimental context was an important factor influencing the strength and direction of the variance effect. Our comprehensive systematic review and meta-analysis provide insights into the roles of state dependency and plasticity in intraspecific behavioural variation. While heterogeneity among effect sizes was high, our results show that poor nutritional state on average increases risk taking in ecological contexts involving predation, novelty and exploration.","We screened records to find original experimental studies that manipulated the condition of animals in independent treatment groups through their diet, via both dietary quantity (i.e. partial restriction, complete deprivation or enrichment) or quality treatments (e.g. protein restriction or enrichment), and including both short-term and longer-term manipulations up to extended periods of weeks to months. We screened for studies that then subjected those animals to behavioural observations in contexts relating to risk (e.g. novel environments, novel object, risk-sensitive foraging, predator response) in independent trials (for inclusion and exclusion decision trees see Appendix S1). Our aim was to test for adaptive condition-dependent behavioural responses in non-human animals, therefore we excluded studies using species with compromised genetic diversity and/or evolved adaptive responses (e.g. domesticated animals, laboratory breeds, genetically modified organisms; as per Kelly et al., 74) as well as studies on humans. Studies manipulating the micronutrient content of diets, or subjecting animals to high-fat diets were also excluded as the relationship between these diet manipulations and body condition is not clear and was considered beyond the scope of this review. Dietary treatments were excluded as ‘non-independent’: (i) where the behaviour was measured in the presence of high and low food availability, or dietary treatments such as periods of deprivation were applied within the novel environment (i.e. non-independence of treatments from the behavioural assay); (ii) where the dietary treatments were coupled with additional non-dietary factors (e.g. temperature; i.e. non-independence of the diet factor within treatments); or, (iii) the dietary treatments were applied longitudinally (within individuals) rather than cross-sectionally (i.e. non-independence between high and low treatments).",
Postmenopausal Hormone Replacement Therapy,"Context: Although postmenopausal hormone replacement therapy (HRT) is widely used in the United States, new evidence about its benefits and harms requires reconsideration of its use for the primary prevention of chronic conditions. Objective: To assess the benefits and harms of HRT for the primary prevention of cardiovascular disease, thromboembolism, osteoporosis, cancer, dementia, and cholecystitis by reviewing the literature, conducting meta-analyses, and calculating outcome rates. Data sources: All relevant English-language studies were identified in MEDLINE (1966-2001), HealthSTAR (1975-2001), Cochrane Library databases, and reference lists of key articles. Recent results of the Women's Health Initiative (WHI) and the Heart and Estrogen/progestin Replacement Study (HERS) are included for reported outcomes. Study selection and data extraction: We used all published studies of HRT if they contained a comparison group of HRT nonusers and reported data relating to HRT use and clinical outcomes of interest. Studies were excluded if the population was selected according to prior events or presence of conditions associated with higher risks for targeted outcomes. Data synthesis: Meta-analyses of observational studies indicated summary relative risks (RRs) for coronary heart disease (CHD) incidence and mortality that were significantly reduced among current HRT users only, although risk for incidence was not reduced when only studies that controlled for socioeconomic status were included. The WHI reported increased CHD events (hazard ratio [HR], 1.29; 95% confidence interval [CI], 1.02-1.63). Stroke incidence but not mortality was significantly increased among HRT users in the meta-analysis and the WHI. The meta-analysis indicated that risk was significantly elevated for thromboembolic stroke (RR, 1.20; 95% CI, 1.01-1.40) but not subarachnoid or intracerebral stroke. Risk of venous thromboembolism among current HRT users was increased overall (RR, 2.14; 95% CI, 1.64-2.81) and was highest during the first year of use (RR, 3.49; 95% CI, 2.33-5.59) according to a meta-analysis of 12 studies. Protection against osteoporotic fractures is supported by a meta-analysis of 22 estrogen trials, cohort studies, results of the WHI, and trials with bone density outcomes. Current estrogen users have an increased risk of breast cancer that increases with duration of use. Endometrial cancer incidence, but not mortality, is increased with unopposed estrogen use but not with estrogen with progestin. A meta-analysis of 18 observational studies showed a 20% reduction in colon cancer incidence among women who had ever used HRT (RR, 0.80; 95% CI, 0.74-0.86), a finding supported by the WHI. Women symptomatic from menopause had improvement in certain aspects of cognition. Current studies of estrogen and dementia are not definitive. In a cohort study, current HRT users had an age-adjusted RR for cholecystitis of 1.8 (95% CI, 1.6-2.0), increasing to 2.5 (95% CI, 2.0-2.9) after 5 years of use. Conclusions: Benefits of HRT include prevention of osteoporotic fractures and colorectal cancer, while prevention of dementia is uncertain. Harms include CHD, stroke, thromboembolic events, breast cancer with 5 or more years of use, and cholecystitis.","Inclusion and exclusion criteria were developed by the investigators for each topic. In general, studies were included if they contained a comparison group of HRT nonusers and reported data relating to HRT use and clinical outcomes of interest. Studies were excluded if the population was selected according to prior events or presence of conditions associated with higher risks for targeted outcomes.",
Prevalence of mental health symptoms in children and adolescents during the COVID-19 pandemic: A meta-analysis,"The COVID-19 pandemic and its accompanying infection control measures introduced sudden and significant disruptions to the lives of children and adolescents around the world. Given the potential for negative impacts on the mental health of youths as a result of these changes, we conducted a systematic review and meta-analysis to examine the prevalence of depressive symptoms, anxiety symptoms, and sleep disturbances in children and adolescents during the pandemic. We searched major literature databases for relevant cross-sectional or longitudinal studies that included primary and secondary school students or children and adolescents ≤18 years of age. Prevalence values were extracted, logit-transformed, and pooled. Based on 191 included studies with 1,389,447 children and adolescents, we found the pooled prevalence of depressive symptoms, anxiety symptoms, and sleep disturbances to be 31%, 31%, and 42%, respectively. Age, grade levels, education levels, gender, geographical regions, and electronics use were correlated with the prevalence of mental health symptoms. The prevalence of mental health symptoms also increased with time, although signs of recovery and stabilization were also observed. Overall, the results from this review demonstrate the need for increased mental health research, monitoring, and intervention for children and adolescents during the current and future pandemics.","Publications were included in the meta‐analysis if they met the following criteria: (1) primary cross‐sectional or longitudinal studies conducted after January 2020 (or reported data from time points after January 2020); (2) included children and adolescents ≤18 years of age or students enrolled in primary or secondary educational institutions; and (3) reported the prevalence of depressive symptoms, anxiety symptoms, and/or sleep disturbances, as assessed using self‐reported instruments or clinical interviews. Studies specifically targeting children with special needs or pre‐existing mental health disorders were excluded. No limitations on the publication's language or country of origin were placed.",
Psychological theories of depressive relapse and recurrence: A systematic review and meta-analysis of prospective studies,"Psychological factors hypothesized to account for relapse of major depressive disorder (MDD) roughly originate from five main theories: Cognitive, diathesis-stress, behavioural, psychodynamic, and personality-based. In a meta-analysis we investigated prospective, longitudinal evidence for these leading psychological theories and their factors in relation to depressive relapse. Included studies needed to establish history of MDD and prospective depressive relapse through a clinical interview, have a longitudinal and prospective design, and measure at least one theory-derived factor before relapse. We identified 66 eligible articles out of 43,586 records published up to November 2018. Pooled odds ratios (OR) indicated a significant relationship between the cognitive, behavioural, and personality-based theories and depressive relapse (cognitive: k = 17, OR = 1.24, 95% CI = 1.10-1.40; behavioural, k = 8, OR = 1.15, 95% CI = 1.05-1.25; personality: k = 12, OR = 1.26, 95% CI = 1.02-1.54), but not for the psychodynamic theories (k = 4, OR = 1.29, 95% CI = 0.83-1.99). Pooled hazard ratios of the theories were not significant. There were no articles identified for the diathesis-stress theories. To conclude, there is a restricted number of prospective studies, and some evidence that the cognitive, behavioural, and personality-based theories indeed partially account for depressive relapse.","Criteria for studies to be included in the review were: (1) Presence of a diagnostic status of MDD (MDD absence and/or presence) for all participants, as determined through a clinical interview (e.g., SCID, K-SADS from DSM, CIDI from ICD) or by a clinician at the start of the study; (2) At some point during the study, participants needed to be in (partial) remission or recovery as determined by a clinical interview or clinician assessment; and (3) relapse or recurrence was diagnosed through a clinical interview or by a clinician. (4) The study design was longitudinal and prospective; (5) The theory-derived predictor (i.e., the proposed factors) was assessed before the relapse or recurrence of MDD; (6) The predictor was derived from one of the leading psychological theories; (7) Sufficient information was reported to calculate effect sizes (or was made available upon request). Exclusion criteria were the presence of bipolar disorder, dysthymia, seasonal affective disorder, postpartum depression, late-life MDD, or MDD due to medical disorders. Studies that solely included people with a first onset MDD when they were older than 65 years, were excluded due to potential etiological differences between late-life onset MDD and MDD at younger ages (Devanand et al., 2004; Herrmann, Goodwin, & Ebmeier, 2007; Korten, Comijs, Lamers, & Penninx, 2012). Language was restricted to English. When multiple publications from the same study cohort were available, with exactly the same factors, we included the publication with the longest follow-up time, or the largest number of participants in case of equal follow-up time.",
Sleep and Microdialysis: An Experiment and a Systematic Review of Histamine and Several Amino Acids,"Sleep seems essential to proper functioning of the prefrontal cortex (PFC). The role of different neurotransmitters has been studied, mainly the catecholamines and serotonin. Less attention has been paid to the amino acid transmitters and histamine. Here, we focus on the activity of these molecules in the PFC during sleep and sleep deprivation (SD). We determined extracellular concentrations of histamine and 8 amino acids in the medial PFC before, during and after SD. Additionally, we systematically reviewed the literature on studies reporting microdialysis measurements relating to sleep throughout the brain. In our experiment, median concentrations of glutamate were higher during SD than during baseline (p = 0.013) and higher during the dark-active than during the resting phase (p = 0.003). Glutamine was higher during post-SD recovery than during baseline (p = 0.010). For other compounds, no differences were observed between light and dark circadian phase, and between sleep deprivation, recovery and baseline. We retrieved 13 papers reporting on one or more of the molecules of interest during naturally occurring sleep, 2 during sleep deprivation and 2 during both. Only two studies targeted PFC. Histamine was low during sleep, but high during sleep deprivation and wakefulness, irrespective of brain area. Glu (k = 11) and GABA (k = 8) concentrations in different brain areas were reported to peak during sleep or wakefulness or to lack state-dependency. Aspartate, glycine, asparagine and taurine were less often studied (1-2 times), but peaked exclusively during sleep. Sleep deprivation increased glutamate and GABA exclusively in the cortex. Further studies are needed for drawing solid conclusions.","Screening was performed in EROS (Early Review Organising Software; Institute of Clinical Effectiveness and Health Policy, Buenos Aires, Argentina) by two independent reviewers. Discrepancies were resolved by discussion among the reviewers. For our mapping review [17], we excluded (1) studies on other techniques than microdialysis (e.g. biosensors and microdialysis precursors such as push-pull perfusion), (2) studies measuring other substances than Hist and the amino acids Asn, Asp, GABA, Glu, Gln, Gly, Pro and Tau, (3) retro-dialysis studies, (4) microdialysis studies that did not report baseline values without the specified molecules in the perfusion fluid, (5) extra-cerebral microdialysis studies, (6) human and in vitro studies, and (7) papers not containing primary study data. Within publications, experiments using techniques other than microdialysis were also ignored (e.g. in [22]), as well as data on amino acids other than those we searched for (e.g. in [23]).",
Specialized psychotherapies for adults with borderline personality disorder: A systematic review and meta-analysis,"Objective: Borderline personality disorder affects up to 2% of the population and is associated with poor functioning, low quality of life and increased mortality. Psychotherapy is the treatment of choice, but it is unclear whether specialized psychotherapies (dialectical behavior therapy, mentalization-based treatment, transference-focused therapy and schema therapy) are more effective than non-specialized approaches (e.g. protocolized psychological treatment, general psychiatric management). The aim of this systematic review is to investigate the effectiveness of these psychotherapies. Methods: PubMed, PsycINFO, CINAHL, EMBASE and CENTRAL were searched from inception to November 2017. Included randomized controlled trials were assessed on risk of bias and outcomes were meta-analyzed. Confidence in the results was assessed using the Grading of Recommendations Assessment, Development and Evaluation method. The review has been reported following Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Results: A total of 20 studies with 1375 participants were included. Specialized psychotherapies, when compared to treatment as usual or community treatment by experts, were associated with a medium effect based on moderate quality evidence on overall borderline personality disorder severity (standardized mean difference = -0.59 [95% confidence interval: -0.90, -0.28]), and dialectical behavior therapy, when compared to treatment as usual, with a small to medium effect on self-injury (standardized mean difference = -0.40 [95% confidence interval: -0.66, -0.13]). Other effect estimates were often inconclusive, mostly due to imprecision. Conclusion: There is moderate quality evidence that specialized psychotherapies are effective in reducing overall borderline personality disorder severity. However, further research should identify which patient groups profit most of the specialized therapies.","We included RCTs on four specialized psychotherapies (DBT, MBT, TFP and ST) for adults (18 years and older) with BPD, which included an individual psychotherapy component and had a duration of 16 weeks or more. Eligible comparison groups were other protocolized and specialized psychotherapies, or control groups, for example, treatment as usual (TAU), waiting list, attention control or community treatment by experts (CTBE). In studies that also included participants with other personality disorders (e.g. antisocial), we contacted the authors and requested disaggregated data. Studies were excluded with an arbitrary cut-off of <66% of the participants having BPD, unless disaggregated data were provided. Also, studies were excluded that tested incomplete versions of specialized treatment, for example, studies that investigated only skills training instead of the full DBT program.",
Systematic Review and Meta-Analysis of Early-Life Exposure to Bisphenol A and Obesity-Related Outcomes in Rodents,"Background: Early-life exposure to bisphenol A (BPA) has been implicated to play a role in the development of obesity. Objective: A systematic review with meta-analyses of experimental rodent studies was conducted to answer the following question: does early-life exposure to BPA affect the obesity-related outcomes body weight, fat (pad) weight, and circulating and tissue levels of triglycerides, free fatty acids (FFA), and leptin? Methods: The methodology was prespecified in a rigorous protocol using the Systematic Review Centre for Laboratory Animal Experimentation (SYRCLE) approach. Using PubMed and EMBASE, we identified 61 articles that met the inclusion criteria. The risk of bias and the methodological quality of these articles were assessed using the SYRCLE Risk of Bias tool, and a confidence-rating methodology was used to score the quality of evidence. Meta-analyses were performed using random effect models and standardized mean differences (SMDs), or, where possible, mean differences (MDs) were calculated. Results: Overall summary estimates indicated significant positive associations between BPA and fat weight [SMD=0.67 (95% CI: 0.53, 0.81)], triglycerides [SMD=0.97 (95% CI: 0.53, 1.40)], and FFA [SMD=0.86 (95% CI: 0.50, 1.22)], and a nonsignificant positive association with leptin levels [MD=0.37 (95% CI: -0.14, 0.87)] and a significant negative association with body weight were estimated [MD=-0.22 (95% CI: -0.37, -0.06)]. Subgroup analyses revealed stronger positive associations for most outcome measures in males and at doses below the current U.S. reference dose of 50μg/kg/d compared with doses above the reference dose. It should be noted that there was substantial heterogeneity across studies for all outcomes assessed and that there was insufficient information to assess risk of bias for most studies. Conclusions: Findings from our systematic review suggest that early-life exposure to BPA may increase adiposity and circulating lipid levels in rodents. https://doi.org/10.1289/EHP1233.","Studies were selected for full-text screening when they met the inclusion criteria. In case of doubt, articles were also analyzed based on their full text. Studies were included in this systematic review when they met all of the following criteria: a) original full paper that presented unique data; b) exposure to BPA; c) obesity-related article or at least one of the outcome measures was examined (body weight, fat pad weights, triglyceride levels, FFA levels, or leptin levels); d) experimental rodent study; e) perinatal exposure via maternal or direct pup exposure [during gestation and/or lactation up to postnatal day (PND) 21]. Studies were excluded if they met one of the following criteria: a) not an original paper; b) exposure to a chemical other than BPA; c) no disease or outcome of interest (no obesity-related outcome); d) not a rodent study; e) not perinatal exposure (paternal exposure, exposure after PND21, and measurements in unborn fetuses were excluded); f) outcomes not measured in F1 generation; g) unhealthy or genetically altered rodents (data measured after ovariectomy were considered unhealthy and were not extracted); h) outcomes were measured after diet was altered to high-fat diet during follow-up. In addition, selection was restricted to English-language articles.",
The methodological rigour of systematic reviews in environmental health,"While systematic reviews (SRs) are often perceived as a ""gold standard"" for evidence synthesis in environmental health and toxicology, the methodological rigour with which they are currently being conducted is unclear. The objectives of this study are (1) to provide up-to-date information about the methodological rigour of environmental health SRs and (2) to test hypotheses that reference to a pre-published protocol, use of a reporting checklist, or being published in a journal with a higher impact factor, are associated with increased methodological rigour of a SR. A purposive sample of 75 contemporary SRs were assessed for how many of 11 recommended SR practices they implemented. Information including search strategies, study appraisal tools, and certainty assessment methods was extracted to contextualise the results. The included SRs implemented a median average of 6 out of 11 recommended practices. Use of a framework for assessing certainty in the evidence of a SR, reference to a pre-published protocol, and characterisation of research objectives as a complete Population-Exposure-Comparator-Outcome statement were the least common recommended practices. Reviews that referenced a pre-published protocol scored a mean average of 7.77 out of 10 against 5.39 for those that did not. Neither use of a reporting checklist nor journal impact factor was significantly associated with increased methodological rigour of a SR. Our study shows that environmental health SRs omit a range of methodological components that are important for rigour. Improving this situation will require more complex, comprehensive interventions than simple use of reporting standards.","We employed a purposive SR sampling strategy aimed at covering a range of environmental health topics in a narrow, recent time window. We defined environmental health as “the investigation of associations between exposures to exogenous environmental challenges and health outcomes,” including toxicology and environmental epidemiology, as per our protocol (Menon et al. Citation2020). To be eligible for inclusion in the SR sample, documents had to fulfil the following criteria: 1. identify explicitly as a “systematic review” in their title; 2. assess the effect of a non-acute, non-communicable, environmental exposure on a health outcome; 3. include studies in people or mammalian models; 4. be available in HTML format; 5. be published between 1 January 2019 and 30 June 2020. We excluded umbrella reviews and review protocols, SRs of the wrong population (e.g. plants), and SRs of the following exposures: pathogens; poisons; smoking and tobacco-related products, except for exposure to second-hand smoke (to prevent our sample being dominated by studies of direct tobacco exposure); social, psychological, or behavioural risk factors; housing conditions; SRs of exposure only (e.g. biomonitoring); and protocols for SRs. We did include diet and addiction as exposures, as these are considered by some researchers as being environmental exposures (Bazzano et al. Citation2008). SRs had to be available in HTML format to allow copy-pasting of manuscripts into a uniform format stripped of visual cues, and allow easy removal of identifying information, as per our blinding strategy.",
The rodent object-in-context task: A systematic review and meta-analysis of important variables,"Environmental information plays an important role in remembering events. Information about stable aspects of the environment (here referred to as 'context') and the event are combined by the hippocampal system and stored as context-dependent memory. In rodents (such as rats and mice), context-dependent memory is often investigated with the object-in-context task. However, the implementation and interpretation of this task varies considerably across studies. This variation hampers the comparison between studies and-for those who design a new experiment or carry out pilot experiments-the estimation of whether observed behavior is within the expected range. Also, it is currently unclear which of the variables critically influence the outcome of the task. To address these issues, we carried out a preregistered systematic review (PROSPERO CRD42020191340) and provide an up-to-date overview of the animal-, task-, and protocol-related variations in the object-in-context task for rodents. Using a data-driven explorative meta-analysis we next identified critical factors influencing the outcome of this task, such as sex, testbox size and the delay between the learning trials. Based on these observations we provide recommendations on sex, strain, prior arousal, context (size, walls, shape, etc.) and timing (habituation, learning, and memory phase) to create more consensus in the set-up, procedure, and interpretation of the object-in-context task for rodents. This could contribute to a more robust and evidence-based design in future animal experiments.","The retrieved articles were screened based on a priori defined inclusion and exclusion criteria. Inclusion criteria for the systematic review were: (1) original article in the English language, (2) OIC task, (3) rodents, (4) control animals (no treatment, saline injection, or sham operation). Studies had to comply with the inclusion criteria above and report the sample size and (the data to calculate) the DR-with the corresponding standard error- to be included in the meta-analysis. Exclusion criteria were: 1) no primary literature in English; 2) other measures of context-dependent memory, like modified versions of the OIC task (e.g. combinations of context and location measures, context-dependent memory based on odors, classical fear conditioning or operant conditioning paradigms); 3) non-rodent species, 4) no control group tested. Note, genetic modification was not an exclusion criterium. Screening was performed by MV and MS. If information in the title and abstract was insufficient to determine eligibility, full-text articles were checked.",
The use of acupuncture in patients with Raynaud_ syndrome: A systematic review and meta-analysis of randomized controlled trials,"Objective: To assess the effectiveness of acupuncture for the treatment of Raynaud's syndrome by conducting a systematic review and meta-analysis of randomized controlled trials (RCTs). Methods: Studies were identified from English and Chinese databases from their inception to September 2020. The outcomes of interest were remission incidence, number of daily attacks, incidence of positive cold stimulation tests and incidence of cold provocation tests. We conducted meta-analysis and network meta-analysis using meta and gemtc. Results: Six trials (n = 272 participants) were included in the meta-analysis. Pairwise meta-analyses show that acupuncture was associated with increased remission incidence (risk ratio (RR) = 1.21, 95% confidence interval (CI) = 1.10 to 1.34), decreased daily number of attacks (weighted mean difference (WMD) = -0.57, 95% CI = -1.14 to -0.01), and increased incidence of positive cold stimulation tests (RR = 1.64, 95% CI = 1.27 to 2.11). There was not enough evidence to associate acupuncture with decreased incidence of positive cold provocation tests. The network meta-analyses did not demonstrate significant results for the effectiveness of any acupuncture treatments (electroacupuncture or manual acupuncture ± moxibustion), compared with controls, in terms of remission incidence or daily number of attacks, possibly due to small sample sizes and a lack of statistical power. Conclusion: The use of acupuncture may be effective for the treatment of Raynaud's syndrome in terms of increasing remission incidence, decreasing daily number of attacks and increasing incidences of positive cold stimulation tests. However, our findings should be interpreted with caution due to small sample sizes, very low quality of evidence and high risk of bias. Future large-scale RCTs are warranted.","In order to be included in our analysis, parallel RCTs needed to have: (1) recruited patients diagnosed with Raynaud’s syndrome; (2) used any acupuncture therapy compared with an untreated or sham acupuncture group; and (3) reported any of our outcomes of interest. We included studies that may have administered other therapies concurrently with acupuncture; however, the same concurrent therapy needed to have been used in both the intervention and control arms (i.e. acupuncture + concurrent therapy vs concurrent therapy) to minimize potential confounding by inclusion of concurrent therapies.",
Promoting patient uptake and adherence in cardiac rehabilitation,,"We include randomised controlled trials. 
Include Adults (ages 18 years or over) with myocardial infarction (MI), coronary artery bypass graft (CABG), percutaneous coronary intervention (PCI), heart failure (HF), stable angina, or CHD who were eligible for cardiac rehabilitation (must be at least 50% of sample; or data reported separately in participants that meet our inclusion criteria). For studies of uptake/enrolment, the study population comprised patients who were eligible for cardiac rehabilitation. For studies of increasing adherence/completion, participants were those
who had already enrolled to take part in a cardiac rehabilitation program at the start of the study. Studies of participants with heart transplants, heart valve procedures, arrhythmias such as atrial fibrillation and people implanted with either cardiac-resynchronization therapy or implantable defibrillators will be included in this update. 
Include any intervention with the specific aim of increasing patient utilization of comprehensive Phase II cardiac rehabilitation (i.e., program offers (1) initial patient assessment, (2) structured exercise, and (3) at least one other strategy to control CV risk factors/symptoms). Interventions could be targeted to: individuals, groups, partners, caregivers or other family members, or health professionals.
We only included studies where the comparison arm had an equivalent opportunity to attend a comparable CCR program.
Primary outcome measures for this review were: 1. measures of uptake/enrolment in cardiac rehabilitation programme – defined as patient attendance at first programme visit (or equivalent) 2. adherence to cardiac rehabilitation programme – defined as extent of participation in the overall prescribed programme  – defined as percentage of sessions completed (or equivalent).  We did not consider measures such as frequency of exercise, amount of exercise taken, and measures of exercise capacity (strength, peak oxygen uptake) to be suitable measures of adherence as they do not give an indication of the extent to which participants adhered to the overall program. 3. Completion Defined as attended at least some of the CR intervention components and have had a formal re-assessment by the CR team at the conclusion of the CR intervention (dichotomous; Y/N), or equivalent. Secondary outcomes were: 1. harms or adverse events relevant to the review 2. costs, and 3. Equity (i.e., intervention aims to increase utilization in under-represented group such as women, ethnocultural minorities, low socioeconomic status, older, rural or complex (e.g, indications, comorbidities) patients).
We included only studies that reported at least one primary outcome.",Adherence_to_cardiac_rehabilitation
"Oral anticoagulants for prevention of stroke in atrial fibrillation: systematic review, network meta-analysis, and cost effectiveness analysis",,"We included phase II or phase III randomised controlled trials using either a superiority or non-inferiority design 
Included adults with non-valvular atrial fibrillation eligible for oral anticoagulation. Trials in participants only eligible for parenteral anticoagulation were excluded. 
We focused on five DOACs; four direct factor Xa inhibitors: apixaban, betrixaban, edoxaban, and rivaroxaban, and one direct factor II (thrombin) inhibitor: dabigatran. The following direct factor Xa inhibitors were excluded: eribaxaban because the current stage of development was unclear; otamixaban because it is administered parenterally; darexaban (YM150) because it has been discontinued; and LY517717 and letaxaban (TAK442) because no information on any further clinical development was available. Two factor II inhibitors were also excluded: ximelagatran because it has been withdrawn as a result of liver toxicity and AZD0837 because it has been discontinued. 
Included therapeutic doses of warfarin or other vitamin K antagonist (with optimal INR range 2.0-4.0), as well as aspirin and clopidogrel. 
Included all stroke, stroke or systemic embolism, ischaemic stroke, haemorrhagic stroke, myocardial infarction, all-cause mortality, all bleeding, minor bleeding, major bleeding, intracranial bleeding, gastrointestinal bleeding, and clinically relevant bleeding.",Oral_anticoagulants_Atrial_Fibrillation
"Oral anticoagulants for primary prevention, treatment and secondary prevention of venous thromboembolic disease",,"We included phase II or phase III randomised controlled trials using either a superiority or non-inferiority design.
Include Primary prevention of VTE: Adults admitted to hospital who were considered to be at high risk of VTE, including those with a medical condition (e.g. cancer, major trauma, stroke) or undergoing a surgical procedure (e.g. total knee or hip arthroplasty, hip fracture surgery) that carries a high risk of VTE. Acute treatment of VTE: Adults who have received a new or recurrent objectively confirmed diagnosis of acute symptomatic VTE. Secondary prevention of VTE: Adults who have completed a minimum of 3 months of anticoagulant treatment for objectively confirmed first VTE without recurrence (secondary prevention)
We focused on five DOACs; four direct factor Xa inhibitors: apixaban, betrixaban, edoxaban, and rivaroxaban, and one direct factor II (thrombin) inhibitor: dabigatran. The following direct factor Xa inhibitors were excluded: eribaxaban because the current stage of development was unclear; otamixaban because it is administered parenterally; darexaban (YM150) because it has been discontinued; and LY517717 and letaxaban (TAK442) because no information on any further clinical development was available. Two factor II inhibitors were also excluded: ximelagatran because it has been withdrawn as a result of liver toxicity and AZD0837 because it has been discontinued. 
Included Primary prevention of VTE Standard dose low molecular weight heparin (LMWH); therapeutic doses of warfarin or other vitamin K antagonist (VKA) (with optimal INR range 2–4); placebo. Acute treatment of VTE Therapeutic doses of warfarin or other VKA (with optimal INR range 2–4). Secondary prevention of VTE Therapeutic doses of warfarin or other VKA (with optimal INR range 2–4); placebo; no treatment
Included Symptomatic venous thromboembolism (VTE), Non-symptomatic VTE. Major VTE (defined as symptomatic or asymptomatic proximal DVT, non-fatal pulmonary embolism (PE) and VTE-related death). Fatal VTE. Symptomatic deep vein thrombosis (DVT). Non-symptomatic DVT. Distal DVT. Symptomatic distal DVT. Proximal DVT. Symptomatic proximal DVT.  PE. Symptomatic PE. Non-symptomatic PE. Fatal PE. Non-fatal PE. Symptomatic non-fatal PE. Included any bleeding, major bleeding, minor bleeding, clinically-relevant non-major bleeding, intracranial bleeding, extracranial bleeding, fatal bleeding, bleeding from surgical site, thrombocytopenia. ",Oral_anticoagulants_venous_thromboembolism
Systematic review and meta-analysis of the effect of intraoperative α₂-adrenergic agonists on postoperative behaviour in children,,"We included randomised controlled trials. English language only.
Included children, 0–16 years undergoing general anaesthesia for an operation or other procedure. Excluded studies where participants have received sedative premedication
Included clonidine or dexmedetomidine administered intravenously after induction of anaesthesia. Excluded other modes of administration
Included placebo or a different dose of the intervention drug
Included primary outcome: 1. Postoperative behavioural disturbance (any method of measurement) 2. Emergence agitation/delirium 3. Post-hospitalization negative behaviour change (>24 h post-surgery). Secondary outcomes: 1. Time in recovery 2. Time to discharge (for day patients) 3. Use of rescue analgesia 4. Adverse events (including haemodynamic changes requiring intervention) 5. Acceptability of intervention or satisfaction with care (as judged by the patient or parent)",Postoperative_delerium_in_children
Systematic review of interventions for the prevention and treatment of postoperative urinary retention,,"We included randomised controlled trials
Included adults having surgery. Populations with known pre-existing urinary problems, such as benign prostatic obstruction, cancer of the bladder or prostate, or urinary incontinence, were excluded.
Included any intervention with the specific aim of preventing or treating post-operative urinary retention
Included Any comparator
Included incidence of PO-UR, defined as urinary retention with a postoperative onset requiring urgent intervention, such as catheter insertion, recatheterization (where catheter use was part of the treatment protocol), pharmacological or non-pharmacological treatment. Catheter use was considered as a proxy measure of PO-UR (if not stated explicitly that the catheter was inserted to treat urinary retention).",Postoperative_urinary_retention
